gender,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
Females,2 -5,13.50,26.99,12.72,0.00,2005_06,0.30,0.28,0.04*,2.77,2.14,0.71,0.68,0.49,0.20*,0.06,#,2.03,1.51,0.42,0.08,4.29,0.43,3.86,0.77,0.31,0.23,0.09,0.21,0.18,0.03,0.05,0.20,1.39,0.13,0.47,0.80
Females,6 - 11,18.41,38.74,18.88,0.00,2005_06,0.50,0.30,0.02,3.67,2.85,0.82,0.92,0.83,0.23*,0.05*,#,2.09,1.40,0.65,0.03*,6.41,0.48,5.93,0.83,0.31,0.25,0.06,0.25,0.21,0.03,0.05,0.23,0.98,0.20,0.37,0.42
Females,12 - 19,20.94,36.96,20.71,0.09*,2005_06,0.24,0.37,0.02,3.92,3.29,1.07,1.15,0.88,0.14*,0.05*,#,1.71,0.96,0.72,0.02,6.55,0.43,6.12,1.06,0.38,0.34,0.04,0.31,0.26,0.04,0.06,0.31,0.84,0.09,0.32,0.43
Females,20 - 29,20.52,37.83,19.26,0.46,2005_06,0.39,0.37,0.03*,4.65,3.86,1.28,1.38,0.73,0.37*,0.07*,0.02*,1.81,0.95,0.79,0.06,6.37,0.54,5.83,1.24,0.38,0.32,0.06,0.32,0.27,0.05,0.08,0.45,0.89,0.19*,0.32,0.38
Females,30 - 39,21.60,35.86,16.10,0.53,2005_06,0.38,0.57,0.12*,5.32,4.25,1.55,1.29,0.84,0.37*,0.20*,0.01*,1.57,0.90,0.62,0.02*,5.81,0.52,5.29,1.73,0.42,0.35,0.07,0.35,0.27,0.08,0.16,0.80,0.76,0.15,0.31,0.30
Females,40 - 49,20.72,34.22,15.84,0.66,2005_06,0.45,0.65,0.05*,5.51,4.36,1.26,1.67,0.78,0.47,0.17*,0.01*,1.64,0.90,0.65,0.08*,5.61,0.75,4.86,1.44,0.31,0.24,0.07,0.40,0.29,0.11,0.17,0.56,0.77,0.15,0.36,0.26
Females,50 - 59,18.50,33.45,12.93,0.34,2005_06,0.48,0.51,0.09,4.98,3.90,1.51,1.26,0.55,0.41,0.15*,0.01*,1.31,0.62,0.59,0.08,5.34,0.63,4.71,1.65,0.39,0.28,0.11,0.44,0.34,0.10,0.17,0.66,0.89,0.24,0.44,0.21
Females,60 - 69,17.38,31.10,10.80,0.29,2005_06,0.41,0.72,0.03*,4.59,3.44,1.03,1.01,0.61,0.59*,0.18*,0.02*,1.30,0.80,0.43,0.06,5.03,0.76,4.27,1.52,0.39,0.27,0.12,0.40,0.31,0.09,0.15,0.58,1.02,0.25,0.52,0.26
Females,70 and over,14.52,29.00,11.87,0.22,2005_06,0.40,0.45,0.05,3.85,2.95,0.87,0.73,0.72,0.44,0.19*,#,1.33,0.93,0.33,0.05,4.68,0.90,3.79,1.31,0.39,0.30,0.09,0.32,0.23,0.08,0.11,0.49,1.07,0.24,0.53,0.30
Females,20 and over,19.20,33.94,14.83,0.44,2005_06,0.42,0.54,0.06,4.89,3.86,1.28,1.27,0.71,0.43,0.16,0.01*,1.51,0.85,0.59,0.06,5.54,0.67,4.87,1.48,0.38,0.29,0.08,0.37,0.29,0.08,0.14,0.59,0.88,0.20,0.40,0.29
Males and females,2 and over,21.84,41.47,19.43,0.62,2005_06,0.47,0.60,0.05,5.79,4.66,1.67,1.43,0.99,0.42,0.13,0.02,1.80,1.04,0.70,0.05,6.71,0.68,6.03,1.45,0.43,0.35,0.08,0.39,0.32,0.07,0.11,0.52,0.97,0.17,0.41,0.39
Males,2 -5,13.47,30.17,13.54,0.00,2007_08,0.36,0.24,0.04*,3.03,2.39,0.68,0.94,0.69,0.07*,0.01*,0.00,2.27,1.73,0.46,0.06,4.62,0.50,4.12,0.71,0.31,0.24,0.06,0.22,0.15,0.07,0.05*,0.13,1.55,0.18,0.69,0.69
Males,6 - 11,17.69,40.75,22.52,0.00,2007_08,0.36,0.37,0.01*,4.30,3.56,1.24,1.17,1.00,0.12,0.02*,0.01*,2.20,1.38,0.78,0.03,6.72,0.57,6.16,0.90,0.39,0.32,0.08,0.28,0.23,0.06,0.04*,0.18,1.16,0.18,0.54,0.43
Males,12 - 19,22.33,47.25,25.64,0.17*,2007_08,0.50,0.50,0.04*,6.06,5.03,1.92,1.52,1.25,0.27,0.05*,0.02*,2.40,1.44,0.94,0.02*,8.14,0.60,7.54,1.26,0.43,0.37,0.05,0.38,0.33,0.05,0.06,0.38,0.94,0.12,0.41,0.40
Males,20 - 29,26.01,47.68,27.88,1.24,2007_08,0.55,0.35,0.14*,7.51,6.47,2.54,1.99,1.25,0.53,0.15,0.01*,1.99,0.89,1.02,0.06*,8.51,0.54,7.97,1.59,0.55,0.49,0.06,0.43,0.38,0.05,0.07,0.54,0.98,0.14*,0.44,0.40
Males,30 - 39,27.08,51.07,22.74,1.16,2007_08,0.72,0.87,0.06*,8.06,6.41,2.41,1.85,1.47,0.41,0.28*,#,1.73,0.83,0.85,0.03,7.93,0.62,7.31,1.64,0.47,0.41,0.06,0.45,0.38,0.07,0.12,0.60,1.14,0.18*,0.46,0.49
Males,40 - 49,25.87,52.52,25.21,1.15,2007_08,0.80,0.59,0.03*,7.93,6.51,2.32,2.00,1.56,0.48,0.14*,0.02*,2.00,1.04,0.92,0.03*,7.72,0.61,7.11,1.73,0.57,0.47,0.09,0.45,0.39,0.06,0.11,0.61,0.84,0.15,0.46,0.23
Males,50 - 59,26.28,49.28,19.28,0.98,2007_08,0.65,0.80,0.04*,8.22,6.72,2.12,2.01,1.54,0.70,0.34*,0.01*,1.64,0.88,0.71,0.04*,7.11,0.79,6.32,1.76,0.57,0.47,0.10,0.38,0.32,0.06,0.21,0.60,1.06,0.20*,0.52,0.34
Males,60 - 69,22.62,40.79,15.16,0.93,2007_08,0.65,0.82,0.07*,6.73,5.19,1.98,1.42,1.19,0.51,0.07*,0.01*,1.40,0.85,0.50,0.04*,6.38,0.82,5.56,1.66,0.52,0.43,0.09,0.39,0.30,0.10,0.12,0.63,1.11,0.23,0.60,0.29
Males,70 and over,18.49,34.86,12.80,0.46,2007_08,0.64,0.63,0.03*,5.37,4.07,1.47,0.87,1.10,0.51,0.12*,0.01*,1.46,1.06,0.35,0.03,5.59,0.92,4.68,1.58,0.57,0.44,0.13,0.41,0.31,0.10,0.10,0.50,1.20,0.30,0.60,0.30
Males,20 and over,25.05,47.46,21.71,1.04,2007_08,0.67,0.67,0.06,7.52,6.11,2.22,1.78,1.39,0.52,0.19,0.01,1.75,0.92,0.78,0.04,7.43,0.69,6.74,1.67,0.54,0.46,0.08,0.42,0.35,0.07,0.12,0.58,1.03,0.19,0.50,0.35
Females,2 -5,12.95,29.55,12.30,0.00,2007_08,0.33,0.25,0.02*,2.76,2.17,0.63,0.75,0.63,0.14*,0.01*,#,2.18,1.59,0.53,0.05,4.38,0.43,3.96,0.69,0.27,0.22,0.05,0.21,0.15,0.05,0.04,0.17,1.41,0.22*,0.64,0.55
Females,6 - 11,17.95,36.33,19.23,0.00,2007_08,0.29,0.36,0.03*,3.84,3.17,1.15,1.06,0.73,0.21,0.02*,#,1.82,1.18,0.59,0.03,6.02,0.51,5.51,0.79,0.37,0.32,0.06,0.23,0.19,0.04,0.03,0.16,1.06,0.18,0.50,0.38
Females,12 - 19,18.04,36.65,19.47,0.06*,2007_08,0.34,0.24,0.06*,4.04,3.40,0.95,1.56,0.73,0.11*,0.05*,#,1.66,0.88,0.74,0.02,6.67,0.51,6.17,0.98,0.41,0.35,0.06,0.25,0.20,0.05,0.07*,0.26,0.88,0.15,0.44,0.29
Females,20 - 29,19.85,32.72,17.97,0.45,2007_08,0.35,0.37,0.15,4.67,3.80,1.16,1.42,0.91,0.24,0.07*,#,1.53,0.74,0.73,0.04,5.79,0.61,5.17,1.30,0.36,0.29,0.07,0.37,0.30,0.06,0.14,0.43,0.80,0.11,0.37,0.32
Females,30 - 39,19.75,34.73,18.16,0.47,2007_08,0.45,0.61,0.13*,5.06,3.86,1.29,1.27,0.83,0.37,0.09,0.01*,1.40,0.69,0.63,0.06,5.68,0.53,5.15,1.40,0.39,0.33,0.06,0.38,0.30,0.08,0.13,0.50,0.82,0.18,0.36,0.28
Females,40 - 49,19.52,35.56,17.94,0.55,2007_08,0.48,0.53,0.09*,5.08,3.98,1.48,1.30,0.77,0.33,0.08*,0.01*,1.44,0.70,0.67,0.06,5.77,0.60,5.17,1.45,0.39,0.28,0.12,0.33,0.27,0.06,0.13,0.59,0.75,0.13,0.45,0.18
Females,50 - 59,20.39,34.49,14.86,0.48,2007_08,0.37,0.68,0.07,4.93,3.80,1.13,1.45,0.65,0.33,0.24*,0.01*,1.43,0.83,0.50,0.09,5.13,0.78,4.35,1.58,0.42,0.35,0.07,0.37,0.27,0.10,0.18,0.61,1.04,0.22,0.54,0.28
Females,60 - 69,17.78,30.69,11.85,0.33,2007_08,0.47,0.63,0.06*,4.33,3.17,1.10,1.03,0.62,0.29,0.12*,0.01*,1.34,0.81,0.45,0.06,4.67,0.85,3.82,1.52,0.38,0.30,0.08,0.40,0.30,0.10,0.15,0.60,1.09,0.24,0.67,0.19
Females,70 and over,15.46,27.27,11.08,0.18,2007_08,0.36,0.46,0.05,3.85,2.99,0.98,0.89,0.66,0.30,0.13*,0.02*,1.19,0.78,0.34,0.06,4.87,0.80,4.07,1.28,0.40,0.30,0.10,0.32,0.23,0.09,0.11,0.46,1.14,0.23,0.61,0.30
Females,20 and over,19.06,33.02,15.80,0.43,2007_08,0.41,0.54,0.10,4.72,3.67,1.21,1.26,0.75,0.31,0.12,0.01,1.41,0.75,0.57,0.06,5.39,0.68,4.71,1.42,0.39,0.31,0.08,0.36,0.28,0.08,0.14,0.53,0.92,0.18,0.48,0.26
Males and females,2 and over,20.86,39.40,18.91,0.55,2007_08,0.49,0.53,0.07,5.58,4.49,1.56,1.44,1.01,0.35,0.12,0.01,1.70,0.95,0.68,0.05,6.37,0.64,5.73,1.38,0.44,0.36,0.08,0.36,0.29,0.07,0.11,0.47,1.00,0.18,0.50,0.33
Males,2 -5,13.54,28.19,12.85,0.00,2009_10,0.30,0.39,0.04*,3.05,2.32,0.64,0.86,0.68,0.10*,0.03*,#,2.31,1.65,0.56,0.08,4.92,0.79,4.13,0.66,0.27,0.23,0.04,0.20,0.15,0.05,0.03,0.16,1.49,0.21,0.66,0.62
Males,6 - 11,17.96,37.26,18.72,#,2009_10,0.35,0.35,0.02,3.97,3.24,1.00,1.15,0.91,0.17,0.02,#,2.46,1.65,0.74,0.05,6.75,0.65,6.10,0.78,0.31,0.27,0.05,0.23,0.18,0.06,0.03,0.20,1.03,0.19,0.47,0.37
Males,12 - 19,24.56,46.11,26.92,0.14*,2009_10,0.41,0.50,0.04,6.46,5.50,1.90,1.96,1.33,0.23,0.07,0.01*,2.54,1.40,1.10,0.03,8.94,0.67,8.27,1.19,0.46,0.40,0.06,0.34,0.29,0.05,0.04,0.36,1.13,0.21,0.49,0.43
Males,20 - 29,24.97,46.00,24.31,1.31,2009_10,0.58,0.52,0.11*,7.47,6.26,1.97,2.20,1.48,0.50,0.12,#,2.18,0.87,1.22,0.05*,8.17,0.63,7.55,1.42,0.47,0.36,0.10,0.35,0.29,0.07,0.07,0.53,1.08,0.11*,0.40,0.57
Males,30 - 39,27.72,45.71,24.37,1.53,2009_10,0.59,0.69,0.10,8.25,6.87,2.48,2.09,1.53,0.58,0.18,0.01*,1.88,0.79,1.04,0.02,8.37,0.91,7.45,1.76,0.52,0.44,0.08*,0.47,0.39,0.08,0.12,0.65,0.93,0.14,0.41,0.38
Males,40 - 49,27.55,50.84,22.41,1.27,2009_10,0.57,0.97,0.06*,8.48,6.88,2.62,1.65,1.78,0.53,0.24*,0.06*,2.18,1.05,1.07,0.05*,8.28,0.93,7.35,1.93,0.53,0.43,0.10,0.51,0.39,0.12,0.12,0.77,1.10,0.13,0.66,0.31
Males,50 - 59,25.57,48.23,18.57,1.29,2009_10,0.63,0.80,0.10,7.95,6.43,2.09,1.86,1.56,0.75,0.15*,0.02*,2.03,1.09,0.87,0.04,7.13,1.00,6.13,1.86,0.65,0.55,0.10,0.39,0.30,0.09,0.15,0.68,1.08,0.27,0.57,0.24
Males,60 - 69,24.49,39.25,15.16,1.02,2009_10,0.54,0.79,0.10*,7.14,5.70,1.92,1.32,1.30,0.81,0.34,0.02*,1.65,0.90,0.70,0.04,6.62,0.97,5.65,1.85,0.48,0.39,0.09,0.46,0.35,0.11,0.17*,0.74,1.16,0.18,0.59,0.40
Males,70 and over,20.38,34.27,13.59,0.61,2009_10,0.55,0.83,0.04*,5.93,4.50,1.62,1.09,1.04,0.48,0.25,0.02*,1.40,1.00,0.35,0.04*,5.72,0.91,4.81,1.44,0.45,0.38,0.07,0.37,0.27,0.10,0.11,0.50,1.35,0.29,0.70,0.35
Males,20 and over,25.57,45.25,20.60,1.23,2009_10,0.58,0.76,0.09,7.70,6.28,2.17,1.79,1.49,0.61,0.20,0.02*,1.95,0.95,0.94,0.04,7.58,0.88,6.70,1.72,0.52,0.43,0.09,0.43,0.34,0.09,0.12,0.65,1.09,0.18,0.54,0.38
Females,2 -5,12.44,29.83,12.01,0.00,2009_10,0.31,0.24,0.03,2.93,2.35,0.54,0.93,0.72,0.15*,0.02*,#,2.46,1.74,0.62,0.09,4.54,0.61,3.93,0.69,0.28,0.20,0.08,0.20,0.16,0.04,0.04,0.18,1.43,0.18,0.64,0.61
Females,6 - 11,16.74,33.74,17.68,0.00,2009_10,0.30,0.29,0.02,3.59,2.98,0.93,1.09,0.71,0.21*,0.03*,#,2.03,1.30,0.64,0.07,6.73,0.61,6.12,0.80,0.29,0.22,0.08,0.26,0.22,0.05,0.04,0.21,1.20,0.23,0.63,0.34
Females,12 - 19,18.91,34.60,19.32,0.06*,2009_10,0.39,0.44,0.02,4.09,3.23,0.96,1.38,0.67,0.16,0.06*,#,1.82,0.99,0.80,0.02*,6.34,0.51,5.83,1.02,0.32,0.29,0.03,0.28,0.22,0.06,0.06,0.35,0.82,0.14,0.35,0.34
Females,20 - 29,20.78,34.43,19.75,0.51,2009_10,0.45,0.35,0.06*,4.82,3.96,1.21,1.46,0.84,0.33,0.12*,0.01*,1.66,0.75,0.84,0.06,6.22,0.51,5.70,1.26,0.40,0.36,0.04,0.32,0.25,0.07,0.10,0.43,0.91,0.15,0.33,0.42
Females,30 - 39,20.60,31.18,15.55,0.45,2009_10,0.48,0.66,0.07,4.88,3.68,1.18,1.09,0.81,0.44,0.15,#,1.67,0.85,0.74,0.07,6.02,1.02,5.01,1.42,0.34,0.27,0.07,0.39,0.31,0.09,0.14,0.55,1.00,0.21,0.50,0.29
Females,40 - 49,20.67,29.47,16.18,0.45,2009_10,0.41,0.52,0.12*,5.07,4.02,1.33,1.37,0.64,0.56*,0.12,0.01*,1.44,0.76,0.59,0.08,5.58,0.75,4.82,1.41,0.41,0.32,0.09,0.32,0.22,0.10,0.15,0.54,1.00,0.26,0.50,0.25
Females,50 - 59,19.87,30.21,13.76,0.41,2009_10,0.45,0.76,0.10*,5.13,3.82,1.21,1.23,0.67,0.48,0.22*,0.01*,1.45,0.74,0.60,0.09,5.30,0.84,4.46,1.69,0.43,0.33,0.10,0.38,0.26,0.12,0.30,0.59,1.23,0.29,0.65,0.28
Females,60 - 69,19.96,31.43,13.54,0.42,2009_10,0.41,0.72,0.05*,4.96,3.78,1.14,1.02,0.79,0.55,0.23,0.04*,1.42,0.79,0.53,0.08,5.12,0.93,4.19,1.56,0.37,0.28,0.09,0.36,0.26,0.10,0.19,0.65,1.06,0.26,0.58,0.21
Females,70 and over,16.78,27.89,10.96,0.19,2009_10,0.35,0.48,0.06,4.18,3.29,1.13,0.92,0.69,0.43,0.11*,0.01,1.34,0.84,0.42,0.07,4.82,0.89,3.93,1.42,0.43,0.33,0.10,0.33,0.24,0.09,0.14,0.52,1.21,0.26,0.65,0.30
Females,20 and over,19.92,30.84,15.24,0.42,2009_10,0.43,0.58,0.08,4.87,3.79,1.21,1.21,0.74,0.46,0.15,0.01,1.50,0.78,0.63,0.08,5.56,0.81,4.75,1.46,0.40,0.32,0.08,0.35,0.26,0.09,0.17,0.54,1.06,0.24,0.53,0.30
Males and females,2 and over,21.55,37.37,18.14,0.62,2009_10,0.47,0.60,0.07,5.74,4.61,1.52,1.44,1.04,0.44,0.14,0.01,1.85,1.00,0.78,0.06,6.57,0.79,5.78,1.41,0.43,0.35,0.08,0.36,0.27,0.08,0.12,0.51,1.09,0.20,0.53,0.36
Males,2 -5,14.91,31.26,13.58,0.00,2011_12,0.31,0.25,0.04*,3.03,2.43,0.51,0.98,0.80,0.12,0.02*,#,2.43,1.74,0.55,0.13,5.19,0.62,4.56,0.63,0.24,0.18,0.06,0.20,0.13,0.06,0.05*,0.14,1.50,0.24,0.52,0.74
Males,6 - 11,19.83,40.57,20.45,0.00,2011_12,0.35,0.40,0.08*,4.20,3.37,0.99,1.04,1.06,0.21,0.06*,#,2.37,1.48,0.82,0.06,7.46,0.80,6.66,0.87,0.27,0.22,0.05,0.30,0.24,0.06,0.08,0.22,1.31,0.25,0.62,0.44
Males,12 - 19,28.49,43.89,24.21,0.13*,2011_12,0.52,0.63,0.04,6.37,5.18,1.98,1.53,1.36,0.22,0.09*,0.01*,2.65,1.46,1.16,0.01*,8.85,0.88,7.97,1.26,0.46,0.40,0.06,0.42,0.37,0.05,0.06*,0.32,1.06,0.13,0.49,0.43
Males,20 - 29,32.50,46.37,25.02,1.37,2011_12,0.57,0.84,0.05*,7.73,6.26,2.53,1.89,1.38,0.32,0.14*,#,2.04,0.68,1.28,0.04,8.80,0.82,7.97,1.58,0.48,0.41,0.06,0.42,0.37,0.06,0.12,0.56,1.01,0.15,0.45,0.41
Males,30 - 39,32.75,42.98,24.23,1.36,2011_12,0.60,1.20,0.10*,8.65,6.75,2.28,2.19,1.36,0.73,0.19,0.01*,1.99,0.78,1.07,0.07*,8.58,1.16,7.42,1.69,0.45,0.37,0.08,0.45,0.37,0.08,0.14,0.65,1.11,0.14*,0.50,0.47
Males,40 - 49,32.90,49.47,22.42,1.16,2011_12,0.72,0.82,0.08*,7.83,6.21,2.37,1.80,1.39,0.45,0.20*,#,2.17,0.93,1.16,0.06*,8.34,1.00,7.34,1.85,0.60,0.48,0.11,0.46,0.33,0.13*,0.12,0.67,0.80,0.13,0.47,0.21
Males,50 - 59,30.29,40.74,20.02,1.44,2011_12,0.63,0.78,0.06*,7.57,6.09,2.52,1.64,1.28,0.51,0.14*,0.01*,1.53,0.78,0.70,0.03,6.95,1.05,5.90,2.08,0.64,0.51,0.13,0.50,0.37,0.13,0.17,0.77,1.05,0.17,0.52,0.35
Males,60 - 69,28.07,38.29,16.00,0.78,2011_12,0.65,1.08,0.05*,6.74,4.95,1.73,1.22,1.08,0.60*,0.17,0.16*,1.73,0.98,0.67,0.06*,7.28,1.25,6.03,1.88,0.48,0.39,0.09,0.44,0.33,0.11,0.15*,0.82,1.13,0.21,0.58,0.34
Males,70 and over,23.82,33.71,15.12,0.62,2011_12,0.54,0.87,0.05*,6.22,4.77,1.80,1.19,0.95,0.64,0.15*,0.05*,1.44,0.89,0.45,0.06,6.10,1.19,4.91,1.51,0.48,0.38,0.10,0.37,0.27,0.09,0.11,0.55,1.13,0.21,0.61,0.31
Males,2 - 19,22.63,40.02,20.63,0.06*,2011_12,0.42,0.47,0.06,4.92,3.98,1.33,1.24,1.14,0.19,0.06*,0.01*,2.51,1.53,0.91,0.05,7.58,0.80,6.79,0.99,0.35,0.29,0.05,0.33,0.27,0.06,0.06,0.25,1.24,0.20,0.54,0.50
Males,20 and over,30.66,42.78,21.15,1.18,2011_12,0.62,0.93,0.07,7.59,5.97,2.26,1.71,1.27,0.53,0.17,0.03*,1.85,0.83,0.94,0.05,7.82,1.06,6.77,1.78,0.52,0.43,0.10,0.44,0.34,0.10,0.14,0.67,1.03,0.16,0.51,0.35
Males,2 and over,28.57,42.06,21.02,0.89,2011_12,0.57,0.81,0.06,6.89,5.45,2.02,1.59,1.24,0.44,0.14,0.02*,2.02,1.01,0.93,0.05,7.76,0.99,6.77,1.58,0.48,0.39,0.09,0.42,0.33,0.09,0.12,0.56,1.08,0.17,0.52,0.39
Females,2 -5,15.09,28.22,12.23,0.00,2011_12,0.33,0.32,0.03,2.77,2.09,0.54,0.80,0.57,0.14*,0.02*,#,2.17,1.50,0.56,0.09,4.98,0.73,4.25,0.68,0.22,0.17,0.05,0.25,0.18,0.07,0.05*,0.17,1.32,0.18,0.61,0.53
Females,6 - 11,19.24,36.40,17.95,0.00,2011_12,0.30,0.33,0.07,3.75,3.05,0.83,1.17,0.85,0.18,0.02*,0.00,2.09,1.20,0.82,0.05,6.78,0.75,6.03,0.84,0.32,0.26,0.06,0.25,0.21,0.04,0.04,0.23,1.13,0.20,0.57,0.37
Females,12 - 19,21.81,32.03,19.25,0.05*,2011_12,0.36,0.32,0.07,3.96,3.21,1.00,1.16,0.71,0.28*,0.03,0.02*,1.86,0.97,0.82,0.06*,6.01,0.58,5.43,0.97,0.36,0.30,0.06,0.25,0.21,0.04,0.05*,0.30,0.80,0.16,0.32,0.32
Females,20 - 29,24.70,34.40,18.01,0.59,2011_12,0.44,0.44,0.06*,4.90,3.95,1.48,1.21,0.83,0.31,0.10*,0.02*,1.49,0.56,0.86,0.05,6.70,0.83,5.87,1.43,0.38,0.32,0.06,0.40,0.30,0.10,0.17,0.49,1.05,0.16,0.49,0.40
Females,30 - 39,23.65,34.37,17.95,0.53,2011_12,0.40,0.67,0.10,5.23,4.06,1.26,1.57,0.75,0.37,0.11,0.01*,1.61,0.77,0.72,0.08,6.50,0.92,5.59,1.44,0.37,0.29,0.08,0.38,0.28,0.10,0.15,0.54,0.94,0.25*,0.44,0.25
Females,40 - 49,22.14,30.97,17.23,0.59,2011_12,0.45,0.66,0.12*,4.84,3.60,1.13,1.16,0.83,0.36,0.12*,#,1.38,0.67,0.60,0.09,5.50,0.69,4.81,1.47,0.37,0.29,0.08,0.36,0.27,0.09,0.19,0.56,0.81,0.19,0.37,0.25
Females,50 - 59,22.94,30.34,14.16,0.83,2011_12,0.36,0.85,0.07*,4.87,3.57,1.26,1.11,0.72,0.41,0.07,0.01*,1.40,0.65,0.67,0.07,5.83,1.00,4.84,1.61,0.33,0.23,0.10,0.42,0.29,0.13,0.26,0.61,0.92,0.28,0.43,0.21
Females,60 - 69,23.52,26.71,11.43,0.44,2011_12,0.56,0.96,0.02*,4.92,3.39,0.97,1.04,0.69,0.55,0.14,0.01*,1.32,0.71,0.53,0.06*,5.25,0.97,4.27,1.61,0.32,0.27,0.05,0.42,0.32,0.10,0.18,0.69,0.94,0.20,0.56,0.18
Females,70 and over,19.31,25.09,12.10,0.25,2011_12,0.38,0.54,0.04,3.98,3.02,0.94,0.92,0.54,0.41*,0.21*,0.01*,1.34,0.90,0.33,0.08,4.85,1.10,3.75,1.46,0.40,0.31,0.10,0.35,0.25,0.10,0.15,0.56,1.14,0.24,0.62,0.28
Females,2 - 19,19.49,32.59,17.28,0.02*,2011_12,0.33,0.32,0.06,3.63,2.91,0.85,1.08,0.72,0.22,0.03,0.01*,2.00,1.16,0.76,0.06,6.03,0.67,5.36,0.86,0.32,0.26,0.06,0.25,0.20,0.05,0.05,0.25,1.02,0.18,0.46,0.38
Females,20 and over,22.83,30.64,15.37,0.56,2011_12,0.43,0.69,0.07,4.82,3.63,1.19,1.18,0.74,0.39,0.12,0.01,1.43,0.70,0.63,0.07,5.83,0.91,4.92,1.51,0.36,0.28,0.08,0.39,0.28,0.11,0.19,0.57,0.96,0.22,0.47,0.26
Females,2 and over,22.03,31.11,15.83,0.43,2011_12,0.41,0.60,0.07,4.53,3.45,1.11,1.15,0.73,0.35,0.10,0.01,1.57,0.81,0.67,0.07,5.88,0.85,5.03,1.35,0.35,0.28,0.07,0.36,0.26,0.09,0.15,0.49,0.97,0.21,0.47,0.29
